번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
1,EP,SYSTEMS AND METHODS FOR ASSEMBLING A HEAD-MOUNTED DISPLAY,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2023-08-29,2023,8,2026-03-18,2026,932,2~3년,2,1~5항,G02B27/01|G02B27/62,"['G02B', 'G02B']",2,G02B27/62|G02B27/0176|G02B2027/0178|H04N13/344|G02B7/003|G02B27/0172|G02C13/00|H04N9/3164,8,['광학부품(Optics)'],"Methods of assembling a head-mounted display (HMD) may include coupling a first digital projector assembly to an HMD frame, coupling a second digital projector assembly to the HMD frame, and then warping the HMD frame to optically align the first digital projector assembly with the second digital projector assembly. The warped HMD frame may be fixed such that the first digital projector assembly and the second digital projector assembly are optically aligned to within a predetermined threshold. Various other methods and systems are also disclosed.",553,4.2,,23194044.6
2,US,"Methods, Apparatuses And Computer Program Products For Providing Multi-Functional Optical Modules With Micro-Light Emitting Diodes As Eye Tracking Illumination Sources",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-04-25,2023,4,,,,미등록(A1 등),1,1~5항,G06F3/01|G06T19/00,"['G06F', 'G06T']",2,G02B6/0011|G02B27/0093|G02B27/0172|G02B2027/0178|H05K1/0274|H05K1/0313|H05K1/189|H05K3/323|H05K2201/0145|H05K2201/0154|H05K2201/10106|G06F3/013|G06F3/011|G06T19/006,14,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","Systems, methods, and devices for eye tracking are provided. A device may include a multi-functional optical module including a plurality of optical lens layers. The device may include a layer, among the plurality of optical lens layers, including a patterned substrate including a plurality of light emitting diodes in a field of view of the layer and a plurality of wires configured to connect to a printed circuit board assembly. The light emitting diodes in the field of view may be configured to illuminate light directed to at least one eye of a user to cause at least one reflection of the at least one eye.",614,6.2,,18306955
3,US,"SYSTEMS, METHODS, AND DEVICES FOR REDUCING LIGHT BLEED TRANSMITTED THROUGH A MATERIAL",A1,"Meta Platforms Technologies, LLC",Meta Platforms,2025-08-15,2025,8,,,,미등록(A1 등),1,1~5항,G02B1/10|G02B1/04|G02B6/42|G02B27/01,"['G02B', 'G02B', 'G02B', 'G02B']",4,G02B2027/0178|G02B27/0172|G02B1/10|G02B6/4298|G02B1/045|G02B6/4203,6,['광학부품(Optics)'],"The present disclosure is directed to providing an optical device. The optical device includes a semi-transparent frame. The semi-transparent frame includes a light source configured to display a status of the optical device. Moreover, the semi-transparent frame includes a light guide configured to transmit light from the light source to an exterior surface of the semi-transparent frame. The semi-transparent frame further includes a coating adhered to the light guide and configured to limit leakage of the light to the semi-transparent frame such that only the light guide is illuminated. The coating is a type selected from a group of a low volatile organic compound coating, a non-conductive vacuum metallizing coating, and an organic water-based coating.",762,4.3,,19301832
4,US,METHODS TO ENFORCE CALIBRATION VIA WEARABLE RECHARGING,A1,GOOGLE LLC,Google,2024-02-06,2024,2,,,,미등록(A1 등),1,1~5항,G06T7/00|G01C9/06|G01C25/00|G02B27/01|G06F3/01|G09G3/00|H04N17/00,"['G06T', 'G01C', 'G01C', 'G02B', 'G06F', 'G09G', 'H04N']",7,G09G2320/043|G09G2320/0693|G02B27/0172|G02B2027/0138|H04N17/002|G02B2027/0178|G02B2027/011|G09G3/001|G06F3/013|G01C25/00|G06T7/80|G06T7/0002|G01C9/06|G01C2009/066|G06T2207/30168,15,"['디스플레이(Display)', '컴퓨팅/인터페이스(Computing)', '영상/음향전송(AV)', '광학부품(Optics)', '영상처리(Image)']","A deformation detection device detects deformation of a display system, such as a head-mounted display (HMD). The deformation detection device employs one or more sensors configured to detect one or more variations in positional and angular relationships of sensors, displays, and/or other components of the HMD to determine deviations from an original configuration of the HMD. The deformation detection device stores the variations in the positional and angular relationships for subsequent use during a re-calibration process that restores the viewing experience on the HMD.",577,9,,18434361
5,WO,DETERMINATION OF CRANIOFACIAL GESTURES OF A WEARER OF AN ON-HEAD WEARABLE,A1,GOOGLE LLC,Google,2025-01-13,2025,1,,,,미등록(A1 등),17,16~30항,G06F3/01,['G06F'],1,,0,['컴퓨팅/인터페이스(Computing)'],"Techniques and apparatuses are described that perform a determination of craniofacial gestures of a wearer of an on-head wearable. In an example aspect, an intelligent personal assistant device 110 can proactively engage with users based on their craniofacial gestures detected through an on-head wearable device 108, such as earbuds. Using various sensors, the wearable device monitors combinations of head position and facial expressions to anticipate when the wearer might need assistance. The wearable device's sensors monitor head and facial positions and movements, and when they detect a gesture that matches one associated with assistant engagement, they notify the intelligent personal assistant 110 to interact with the wearer. This system allows the assistant to initiate contact at potentially helpful moments rather than waiting for direct commands. Additionally, various craniofacial gestures can trigger various other actions through the device.",960,3.3,WO2026147524,PCT/US2025/011394
6,US,Wafer-level lens assembly including voids,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2021-05-18,2021,5,2025-06-24,2025,1498,3~5년,1,1~5항,G02B7/02|B29D11/00|G02B27/00|G06F3/01|G02B3/00|G02B3/02,"['G02B', 'B29D', 'G02B', 'G06F', 'G02B', 'G02B']",6,B29D11/00317|G02B27/0093|G02B3/02|G06F3/013|B29D11/00278|G02B2003/0093|G02B7/028|B29D11/00365|G02B27/0172,9,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","An apparatus, system, and method for a lens assembly having corner voids. The lens assembly may include a rectangle glass layer including four corners and a plastic layer including an optical element. In some examples, the plastic layer includes four corner voids aligned over the four corners of the rectangle glass layer.",323,6.4,,17323556
7,US,"Methods, Apparatuses And Computer Program Products For Providing An Eye Tracking System Based On Flexible Around The Lens Or Frame Illumination Sources",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-04-25,2023,4,,,,미등록(A1 등),1,1~5항,G02B27/01,['G02B'],1,G02B27/0093|G02B27/0172|G02B2027/0178|H05K1/0274|H05K1/0313|H05K1/189|H05K3/323|H05K2201/0145|H05K2201/0154|H05K2201/10106|G02B2027/0138|G02B2027/014|G02B2027/0187,13,['광학부품(Optics)'],"Systems, methods, and devices for eye tracking are provided. A device may include at least one printed circuit board including a shape around a lens of the device. The device may also include a plurality of light emitting diodes arranged around the shape of the lens. The plurality of light emitting diodes may be configured to connect to the at least one printed circuit board. The plurality of light emitting diodes may also be configured to illuminate light directed to at least one eye of a user to cause at least one reflection of the at least one eye.",557,5.3,,18306937
8,US,Systems and methods for assembling a head-mounted display,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2023-08-04,2023,8,2025-01-28,2025,543,1~2년,1,1~5항,G02C13/00|G02B27/01,"['G02C', 'G02B']",2,G02B27/62|G02B27/0176|G02B2027/0178|H04N13/344|G02B7/003|G02B27/0172|G02C13/00|H04N9/3164,8,"['광학부품(Optics)', '착용형광학(Wearable)']","Methods of assembling a head-mounted display (HMD) may include coupling a first digital projector assembly to an HMD frame, coupling a second digital projector assembly to the HMD frame, and then warping the HMD frame to optically align the first digital projector assembly with the second digital projector assembly. The warped HMD frame may be fixed such that the first digital projector assembly and the second digital projector assembly are optically aligned to within a predetermined threshold. Various other methods and systems are also disclosed.",553,4,,18365731
9,US,List navigation with eye tracking,B2,Google LLC,Google,2023-06-23,2023,6,2024-08-13,2024,417,1~2년,1,1~5항,G06F3/0482|G06F3/01|G06F3/04842|G06F3/0485|G06F3/04886,"['G06F', 'G06F', 'G06F', 'G06F', 'G06F']",5,G06F3/0485|G06F3/04842|G06F3/013|G06F3/04886|G06F3/0482,5,['컴퓨팅/인터페이스(Computing)'],"Described techniques enable displaying a plurality of positions arranged around a central location on a display, the plurality of positions including at least one empty position and filled positions displaying a first subset of list elements, the filled positions including an adjacent position that is adjacent to the at least one empty position. Movement of a gaze point may be tracked, relative to the filled positions and around the central location towards the at least one empty position. The at least one empty position may be filled with a list element of the list elements, and the adjacent position may be emptied to thereby display a second subset of the list elements.",680,4.4,,18340612
10,WO,MINIATURE FRINGE PROJECTORS AND METHOD FOR DEPTH SENSING,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-03-14,2023,3,,,,미등록(A1 등),15,6~15항,G01B11/25|F21V8/00|G02B27/01,"['G01B', 'F21V', 'G02B']",3,G01B11/2513|G01B11/2536|G02B27/0172|G02B6/0033|G02B6/005|G06V2201/12|G06V40/18|G02B6/12004|G02B27/0093|G02B27/017|G02B2006/12038|G02B2006/1204|G02B2006/12061|G02B2027/0178|H01S5/18305|H01S5/4031,16,['광학부품(Optics)'],"An optical system is configured to support eye tracking operations in a head mounted device. The optical system includes a transparent layer, a laser, and first and second output couplers. The laser is configured to emit light into the transparent layer. The first output coupler is configured to out-couple a first portion of the light from a first location of the transparent layer. The second output coupler is configured to out-couple a second portion of the light from a second location of the transparent layer. The first and second output couplers are in the field-of-view of a user. A combination of the first portion of the light and the second portion of the light out-coupled from the first output coupler and the second output coupler is configured to generate a fringe pattern, for example, on an eye of a user of the head mounted device.",851,9.7,WO2023177672,PCT/US2023/015198
